time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-02T10:51:09.956Z,13.1094,-89.9021,35.345,4.5,mwr,116,151,0.698,0.84,us,us7000nhpp,2024-10-02T11:10:31.040Z,"54 km S of Acajutla, El Salvador",earthquake,5.92,7.546,0.078,16,reviewed,us,us
2024-10-02T10:13:45.484Z,23.0683,141.5993,217.835,4.7,mb,50,112,4.045,0.52,us,us7000nhpl,2024-10-02T10:39:30.040Z,"Volcano Islands, Japan region",earthquake,13.73,8.471,0.081,47,reviewed,us,us
2024-10-02T08:11:53.589Z,-20.5217,-178.3739,539.95,4.5,mb,54,78,3.305,0.7,us,us7000nhnl,2024-10-02T08:34:16.040Z,"Fiji region",earthquake,14.03,7.233,0.039,189,reviewed,us,us
2024-10-02T04:44:00.199Z,-1.1184,127.5419,10,4.5,mb,25,106,1.886,0.43,us,us7000nhmk,2024-10-08T01:05:14.040Z,"54 km S of Labuha, Indonesia",earthquake,8.27,1.903,0.124,19,reviewed,us,us
2024-10-02T01:20:37.143Z,9.0944,126.9483,10,4.9,mb,54,84,2.426,0.44,us,us7000nhld,2024-10-04T03:55:52.005Z,"73 km ENE of Aras-asan, Philippines",earthquake,11.32,1.903,0.083,45,reviewed,us,us
2024-10-02T01:09:07.871Z,-46.8323,-10.6186,10,5.3,mww,54,54,25.185,0.79,us,us7000nhlb,2024-10-08T16:35:24.775Z,"southern Mid-Atlantic Ridge",earthquake,11.5,1.788,0.127,6,reviewed,us,us
2024-10-01T23:52:46.663Z,3.7667,95.846,46.666,4.6,mb,40,132,1.82,0.75,us,us7000nhl1,2024-10-04T00:12:25.005Z,"52 km SW of Meulaboh, Indonesia",earthquake,8.7,8.038,0.101,29,reviewed,us,us
2024-10-01T21:59:27.685Z,-16.4767,-173.7322,61.539,4.7,mb,38,102,3.172,0.8,us,us7000nhkj,2024-10-01T22:26:16.040Z,"58 km S of Hihifo, Tonga",earthquake,11,6.464,0.093,35,reviewed,us,us
2024-10-01T21:37:58.368Z,-1.0637,127.447,10,4.7,mb,37,83,1.825,0.84,us,us7000nhke,2024-10-01T22:16:25.040Z,"48 km S of Labuha, Indonesia",earthquake,7.4,1.904,0.101,33,reviewed,us,us
2024-10-01T21:19:49.696Z,14.2112,124.8534,10,5.9,mww,104,24,7.132,0.92,us,us7000nhk8,2024-10-02T21:23:55.061Z,"69 km ENE of Panganiban, Philippines",earthquake,7.9,1.833,0.046,46,reviewed,us,us
2024-10-01T20:05:34.667Z,-19.2017,-172.9565,10,6.6,mww,113,23,2.865,0.81,us,us7000nhjw,2024-10-09T14:54:21.136Z,"124 km ESE of Neiafu, Tonga",earthquake,9.15,1.737,0.035,77,reviewed,us,us
2024-10-01T16:02:12.689Z,-49.0086,121.4104,10,4.6,mb,32,114,16.366,0.43,us,us7000nhhx,2024-10-01T17:26:00.040Z,"western Indian-Antarctic Ridge",earthquake,8.08,1.784,0.105,29,reviewed,us,us
2024-10-01T15:43:45.483Z,-14.8145,168.0111,10.441,4.6,mb,43,140,6.719,0.72,us,us7000nhhs,2024-10-01T16:38:23.040Z,"104 km ENE of Port-Olry, Vanuatu",earthquake,9.54,4.755,0.092,39,reviewed,us,us
2024-10-01T11:16:05.886Z,-2.905,129.5378,10,4.5,mb,24,78,1.648,0.78,us,us7000nhg2,2024-10-02T08:10:01.040Z,"76 km NE of Masohi, Indonesia",earthquake,7.39,1.874,0.113,23,reviewed,us,us
2024-10-01T10:11:50.864Z,52.8205,160.2583,37.496,4.9,mb,78,106,0.995,0.7,us,us7000nhft,2024-10-01T10:34:37.040Z,"112 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,7.78,6.287,0.04,202,reviewed,us,us
2024-10-01T09:28:05.902Z,-5.9971,124.9161,587.533,6.1,mww,95,23,3.732,0.71,us,us7000nhex,2024-10-02T09:34:44.962Z,"262 km ESE of Baubau, Indonesia",earthquake,7.62,5.658,0.051,37,reviewed,us,us
2024-10-01T09:17:15.681Z,-2.6637,-80.9125,35,4.6,mb,85,153,1.437,0.61,us,us7000nhew,2024-10-01T13:42:33.040Z,"47 km S of La Libertad, Ecuador",earthquake,10.2,1.948,0.048,127,reviewed,us,us
2024-10-01T09:07:36.450Z,-2.7017,-80.8537,35,4.5,mwr,70,153,1.395,0.68,us,us7000nhes,2024-10-01T11:22:17.040Z,"52 km S of La Libertad, Ecuador",earthquake,7.06,1.638,0.068,21,reviewed,us,us
2024-10-01T08:38:38.191Z,-19.8874,-175.3295,164.536,4.5,mb,37,84,1.522,1.22,us,us7000nhel,2024-10-01T09:00:05.040Z,"102 km W of Pangai, Tonga",earthquake,10.06,9.214,0.078,48,reviewed,us,us
2024-10-01T08:23:24.576Z,-19.6058,-174.0438,10,5,mb,43,87,1.959,1.77,us,us7000nhee,2024-10-01T20:32:16.784Z,"33 km ENE of Fangale’ounga, Tonga",earthquake,7.69,1.885,0.034,279,reviewed,us,us
2024-10-01T08:23:12.164Z,4.3436,-87.4192,20.973,4.7,mww,58,102,5.942,1.4,us,us7000nhec,2024-10-01T08:56:23.040Z,"off the coast of Central America",earthquake,7.89,5.563,0.068,21,reviewed,us,us
2024-10-01T07:10:38.587Z,0.4903,122.2921,121.587,5,mb,63,59,1.596,0.85,us,us7000nhe1,2024-10-01T07:28:26.040Z,"85 km W of Gorontalo, Indonesia",earthquake,7.02,5.419,0.069,68,reviewed,us,us
2024-10-01T05:52:49.980Z,31.4537,132.406,15.014,4.6,mb,28,129,1.67,0.65,us,us7000nhdq,2024-10-01T06:53:42.040Z,"100 km E of Nichinan, Japan",earthquake,6.55,4.752,0.112,24,reviewed,us,us
2024-10-01T05:01:57.237Z,-20.1953,-70.6982,21.903,5.3,mww,77,109,0.538,0.94,us,us7000nhdc,2024-10-02T00:27:35.082Z,"56 km W of Puerto, Chile",earthquake,3.91,2.814,0.066,22,reviewed,us,us
2024-10-01T04:49:40.351Z,-41.5731,174.3037,18.783,4.7,mb,35,62,0.401,0.7,us,us7000nhda,2024-10-05T16:28:23.946Z,"29 km E of Witherlea, New Zealand",earthquake,3.33,4.374,0.137,16,reviewed,us,us
2024-10-01T02:18:22.043Z,1.1363,98.8305,103.875,5,mb,81,37,1.266,0.72,us,us7000nhcp,2024-10-02T04:13:38.040Z,"55 km WSW of Padangsidempuan, Indonesia",earthquake,5.85,1.874,0.055,106,reviewed,us,us
2024-10-01T01:33:38.720Z,-5.2467,152.5585,35,5,mb,44,50,1.12,0.73,us,us7000nhci,2024-10-02T03:44:30.040Z,"104 km SSE of Kokopo, Papua New Guinea",earthquake,8.96,1.844,0.058,95,reviewed,us,us
2024-09-30T17:38:33.888Z,13.2511,-90.909,41.195,4.6,mb,63,143,1.274,0.74,us,us7000nha6,2024-09-30T20:07:55.040Z,"75 km S of Puerto San José, Guatemala",earthquake,7.66,7.322,0.044,155,reviewed,us,us
2024-09-30T15:25:17.158Z,-5.7366,131.1873,77.935,4.6,mb,28,89,1.757,0.76,us,us7000nh91,2024-10-09T13:40:38.005Z,"173 km W of Tual, Indonesia",earthquake,7.28,5.273,0.119,21,reviewed,us,us
2024-09-30T12:21:58.647Z,53.0351,160.2623,31.539,5.9,mww,110,76,0.974,1.61,us,us7000nh82,2024-10-01T12:25:26.921Z,"109 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,7.52,3.556,0.041,56,reviewed,us,us
2024-09-30T10:04:46.755Z,8.5437,126.6047,86.864,4.6,mb,42,132,1.783,1.71,us,us7000nh7k,2024-10-08T06:42:07.040Z,"35 km ENE of Hinatuan, Philippines",earthquake,13.38,6.54,0.088,38,reviewed,us,us
2024-09-30T02:44:33.591Z,9.1226,40.0768,10,4.5,mb,28,110,3.627,0.46,us,us7000nh6y,2024-10-06T18:27:57.768Z,"18 km NNW of Āwash, Ethiopia",earthquake,12.31,1.944,0.118,21,reviewed,us,us
2024-09-29T11:09:16.752Z,2.4856,126.814,47.161,5.2,mww,94,68,1.79,1.2,us,us7000nh3j,2024-10-13T12:51:54.040Z,"157 km WNW of Tobelo, Indonesia",earthquake,7.92,6.474,0.11,8,reviewed,us,us
2024-09-29T07:05:47.171Z,6.7894,-73.1424,156.292,4.7,mb,50,43,0.893,0.76,us,us7000nh2v,2024-09-29T07:24:01.040Z,"8 km NW of Jordán, Colombia",earthquake,8.87,6.236,0.028,397,reviewed,us,us
2024-09-29T06:53:34.095Z,10.5372,124.3913,10,5.1,mww,60,55,3.64,1.06,us,us7000nh2p,2024-09-30T13:25:11.509Z,"10 km S of Poro, Philippines",earthquake,9.89,1.876,0.075,17,reviewed,us,us
2024-09-29T06:27:55.356Z,-4.1149,129.8534,31.342,4.7,mb,39,86,0.408,0.37,us,us7000nh2n,2024-09-29T06:59:47.040Z,"133 km SE of Masohi, Indonesia",earthquake,7.74,5.643,0.092,36,reviewed,us,us
2024-09-29T05:18:46.337Z,79.9698,136.8281,10,4.6,mb,75,94,8.592,0.82,us,us7000nh2f,2024-09-29T05:53:59.040Z,"north of the New Siberian Islands",earthquake,9.57,1.917,0.048,132,reviewed,us,us
2024-09-29T04:25:22.806Z,34.0907,70.953,49.326,4.5,mb,34,170,4.821,0.94,us,us7000nh29,2024-09-29T04:44:41.040Z,"17 km W of Landi Kotal, Pakistan",earthquake,12.19,9.697,0.094,33,reviewed,us,us
2024-09-29T01:46:35.148Z,-21.2604,-70.2415,62.86,4.5,mb,38,139,0.445,0.67,us,us7000nh1r,2024-09-30T00:17:55.312Z,"92 km N of Tocopilla, Chile",earthquake,5.78,5.639,0.076,51,reviewed,us,us
2024-09-28T19:12:09.277Z,11.8363,-73.5207,10,4.5,mb,47,62,3.505,0.9,us,us7000nh0q,2024-09-28T19:29:46.040Z,"66 km NNW of Dibulla, Colombia",earthquake,3.92,1.918,0.058,88,reviewed,us,us
2024-09-28T18:28:15.460Z,3.1922,125.6232,164.733,4.6,mb,76,68,2.969,0.77,us,us7000nh0m,2024-09-28T22:01:01.040Z,"201 km NNE of Bitung, Indonesia",earthquake,6.56,7.219,0.063,82,reviewed,us,us
2024-09-28T17:09:55.172Z,3.0599,122.4001,539.486,4.5,mb,127,35,2.522,0.54,us,us7000nh0f,2024-09-28T21:11:46.040Z,"288 km NNW of Gorontalo, Indonesia",earthquake,9.8,6.428,0.052,119,reviewed,us,us
2024-09-28T16:52:40.597Z,-15.4248,-178.7128,10,5.1,mww,63,122,1.249,0.56,us,us7000nh0b,2024-10-01T16:11:51.040Z,"138 km SSW of Leava, Wallis and Futuna",earthquake,5.49,1.847,0.089,12,reviewed,us,us
2024-09-28T15:43:06.084Z,80.0092,137.186,10,4.9,mb,179,78,8.649,0.68,us,us7000ngzz,2024-09-28T17:04:20.040Z,"Lomonosov Ridge",earthquake,9.31,1.796,0.029,377,reviewed,us,us
2024-09-28T15:40:47.777Z,-11.0417,161.399,15.819,5,mww,86,44,2.14,0.63,us,us7000ngzw,2024-09-28T16:06:45.040Z,"86 km SW of Kirakira, Solomon Islands",earthquake,8.25,3.932,0.089,12,reviewed,us,us
2024-09-28T13:09:25.342Z,38.0566,73.2882,10,4.6,mb,41,147,2.773,1.05,us,us7000ngzd,2024-09-28T13:56:50.040Z,"60 km WSW of Murghob, Tajikistan",earthquake,6.89,1.928,0.09,37,reviewed,us,us
2024-09-28T12:32:38.055Z,25.8313,141.6942,82.973,5.1,mb,61,103,1.334,0.83,us,us7000ngz7,2024-09-28T12:50:40.040Z,"Volcano Islands, Japan region",earthquake,10.31,6.89,0.057,100,reviewed,us,us
2024-09-28T12:18:14.459Z,37.2959,21.2822,17.489,4.7,mb,46,52,0.526,1.05,us,us7000ngz5,2024-09-29T05:48:03.071Z,"31 km WNW of Filiatrá, Greece",earthquake,3.33,4.83,0.104,28,reviewed,us,us
2024-09-28T12:14:10.186Z,39.0734,56.0594,10,4.6,mb,34,125,1.977,1.06,us,us7000ngz3,2024-09-28T13:16:13.040Z,"21 km WNW of Serdar, Turkmenistan",earthquake,5.21,1.93,0.107,26,reviewed,us,us
2024-09-28T03:06:12.310Z,41.8627,-126.8396,10,4.6,mb,71,174,1.907,0.67,us,us7000ngxs,2024-09-28T14:29:46.486Z,"207 km WSW of Pistol River, Oregon",earthquake,8.81,1.877,0.092,35,reviewed,us,us
2024-09-28T03:04:15.149Z,41.8543,-126.8404,10,5.1,mww,69,213,1.91,1.35,us,us7000ngxr,2024-10-17T03:14:23.264Z,"207 km WSW of Pistol River, Oregon",earthquake,3.95,2.005,0.044,49,reviewed,us,us
2024-09-27T23:45:25.392Z,8.9043,40.2256,9.969,4.6,mb,34,109,3.669,0.79,us,us7000ngx8,2024-10-16T23:33:25.004Z,"10 km SE of Āwash, Ethiopia",earthquake,7.35,5.244,0.107,26,reviewed,us,us
2024-09-27T23:39:25.837Z,11.0821,-62.5785,117.955,4.8,mb,107,90,1.382,0.57,us,us7000ngx7,2024-10-16T16:41:12.898Z,"62 km NNE of Yaguaraparo, Venezuela",earthquake,11.53,8.887,0.055,103,reviewed,us,us
2024-09-27T22:22:50.517Z,53.9677,158.7534,144.642,4.6,mb,137,90,0.948,0.59,us,us7000ngwt,2024-10-16T16:21:30.040Z,"81 km S of Mil’kovo, Russia",earthquake,12.55,9.954,0.05,119,reviewed,us,us
2024-09-27T22:04:23.322Z,-19.2707,169.2208,135.958,4.8,mb,24,132,3.716,0.9,us,us7000ngwr,2024-10-16T15:51:42.040Z,"30 km NNW of Isangel, Vanuatu",earthquake,5.58,8.738,0.121,21,reviewed,us,us
2024-09-27T21:56:48.993Z,-23.1147,-177.1707,176.127,5.2,mww,130,62,2.683,0.63,us,us7000ngwn,2024-10-16T15:37:16.040Z,"288 km SW of Houma, Tonga",earthquake,7.96,4.82,0.073,18,reviewed,us,us
2024-09-27T14:58:08.399Z,-19.9897,169.3085,103.093,5.1,mww,83,64,3.135,1.03,us,us7000ngth,2024-09-27T15:12:34.040Z,"49 km S of Isangel, Vanuatu",earthquake,6.73,4.536,0.071,19,reviewed,us,us
2024-09-27T13:50:28.337Z,12.4907,142.7427,54.767,4.8,mb,60,71,4.025,0.71,us,us7000ngt9,2024-10-13T12:38:04.040Z,"225 km WSW of Merizo Village, Guam",earthquake,11.02,7.32,0.063,82,reviewed,us,us
2024-09-27T12:20:07.169Z,9.1917,40.0339,10,4.5,mb,28,111,3.614,0.69,us,us7000ngt3,2024-10-13T11:43:25.040Z,"27 km NNW of Āwash, Ethiopia",earthquake,7.02,1.934,0.113,23,reviewed,us,us
2024-09-27T11:20:17.262Z,-30.8542,-179.7165,355.043,5.2,mb,76,65,2.223,0.84,us,us7000ngsr,2024-10-13T11:31:45.040Z,"Kermadec Islands region",earthquake,10.43,6.165,0.033,307,reviewed,us,us
2024-09-27T10:44:20.034Z,-24.8731,178.5262,608.427,4.6,mb,56,128,5.38,0.64,us,us7000ngsn,2024-09-27T11:14:33.040Z,"south of the Fiji Islands",earthquake,14.33,9.564,0.077,50,reviewed,us,us
2024-09-27T09:37:26.438Z,-13.6744,-171.3992,10,4.5,mb,17,91,0.439,0.65,us,us7000ngsh,2024-09-27T18:29:38.848Z,"30 km NE of Lufilufi, Samoa",earthquake,1.97,1.902,0.222,7,reviewed,us,us
2024-09-27T05:40:55.288Z,-7.1974,147.3316,58.397,4.9,mb,45,81,2.2,1.01,us,us7000ngr9,2024-09-27T06:02:07.040Z,"64 km SE of Lae, Papua New Guinea",earthquake,8.74,7.522,0.076,55,reviewed,us,us
2024-09-27T04:36:20.269Z,8.9423,40.0832,10,4.9,mb,47,195,3.743,0.67,us,us7000ngr4,2024-09-28T00:28:41.641Z,"10 km WSW of Āwash, Ethiopia",earthquake,13.55,1.957,0.077,53,reviewed,us,us
2024-09-27T03:39:31.854Z,11.8785,-87.6523,51.404,5.1,mww,70,135,1.021,0.93,us,us7000ngr0,2024-09-27T13:35:29.040Z,"84 km SW of Corinto, Nicaragua",earthquake,6.64,7.701,0.08,15,reviewed,us,us
2024-09-27T02:23:00.695Z,-10.9539,161.4818,10,5.3,mww,37,101,2.133,1.14,us,us7000ngqn,2024-09-27T13:27:09.040Z,"73 km SW of Kirakira, Solomon Islands",earthquake,7.68,1.785,0.098,10,reviewed,us,us
2024-09-27T01:35:43.856Z,-11.4799,-13.5756,10,4.9,mb,26,110,3.608,0.67,us,us7000ngrc,2024-09-28T21:52:21.040Z,"Ascension Island region",earthquake,12.04,1.881,0.112,25,reviewed,us,us
2024-09-26T23:27:42.648Z,8.26,127.3102,10,4.7,mb,59,109,2.084,0.58,us,us7000ngpz,2024-09-30T21:33:29.040Z,"97 km E of Barcelona, Philippines",earthquake,8.68,1.849,0.058,90,reviewed,us,us
2024-09-26T22:02:01.283Z,-41.4806,-86.4253,10,5.1,mb,84,39,10.1,0.92,us,us7000ngpk,2024-09-30T04:37:24.040Z,"West Chile Rise",earthquake,4.59,1.785,0.042,183,reviewed,us,us
2024-09-26T19:19:28.811Z,-17.1899,66.5466,10,6.3,mww,101,29,3.949,0.83,us,us7000ngmr,2024-09-27T19:21:59.721Z,"Mauritius - Reunion region",earthquake,8.04,1.82,0.052,36,reviewed,us,us
2024-09-26T19:03:02.951Z,18.1862,-100.4196,70.492,5,mb,134,158,1.636,0.97,us,us7000ngme,2024-10-15T01:40:11.548Z,"4 km NW of San Miguel Totolapan, Mexico",earthquake,5.79,7.299,0.028,414,reviewed,us,us
2024-09-26T10:07:16.428Z,-16.7015,-72.1316,89.083,4.5,mb,36,142,2.381,0.92,us,us7000ngis,2024-09-27T18:39:34.623Z,"23 km SSW of Santa Rita de Siguas, Peru",earthquake,9.52,9.881,0.108,25,reviewed,us,us
2024-09-26T08:33:10.208Z,19.0024,146.4437,82.666,4.8,mb,75,82,3.793,0.71,us,us7000ngij,2024-09-26T09:04:31.040Z,"Mariana Islands region",earthquake,9.99,7.022,0.039,205,reviewed,us,us
2024-09-26T07:54:30.564Z,12.2866,-88.1028,48.082,4.7,mb,98,157,1.195,0.96,us,us7000ngi9,2024-09-26T08:15:19.040Z,"87 km SW of Jiquilillo, Nicaragua",earthquake,6.88,5.346,0.044,160,reviewed,us,us
2024-09-26T07:01:10.361Z,42.8149,145.0395,57.887,5.5,mww,133,36,1.607,0.77,us,us7000ngi1,2024-10-07T19:36:45.676Z,"28 km SSE of Akkeshi, Japan",earthquake,7.74,5.557,0.071,19,reviewed,us,us
2024-09-26T01:40:51.456Z,27.6668,143.0956,10,4.8,mb,69,117,0.99,0.54,us,us7000nggx,2024-09-26T01:59:34.040Z,"Bonin Islands, Japan region",earthquake,4.04,1.879,0.051,119,reviewed,us,us
2024-09-26T01:17:15.877Z,0.541,99.7294,140.174,4.6,mb,64,140,2.283,0.82,us,us7000nggw,2024-09-26T01:35:43.040Z,"105 km SSE of Padangsidempuan, Indonesia",earthquake,7.72,7.891,0.079,48,reviewed,us,us
2024-09-25T21:10:39.972Z,-21.6459,169.2794,10,4.7,mb,45,93,1.953,0.58,us,us7000ngg2,2024-09-25T23:38:36.040Z,"145 km E of Tadine, New Caledonia",earthquake,5.09,1.88,0.079,49,reviewed,us,us
2024-09-25T20:42:17.329Z,-15.3088,168.0731,10,4.6,mb,24,129,6.337,1.11,us,us7000ngeh,2024-10-08T15:34:14.040Z,"100 km ENE of Luganville, Vanuatu",earthquake,11.99,1.895,0.122,20,reviewed,us,us
2024-09-25T16:17:53.928Z,3.5043,126.9636,48.542,4.6,mb,51,78,2.744,0.79,us,us7000ng70,2024-09-27T04:25:54.040Z,"228 km NNW of Tobelo, Indonesia",earthquake,8.76,7.582,0.086,40,reviewed,us,us
2024-09-25T14:01:05.268Z,-57.732,-6.9053,10,5.3,mb,34,78,14.098,0.73,us,us7000ng5k,2024-09-25T14:19:48.040Z,"southern Mid-Atlantic Ridge",earthquake,10.04,1.539,0.083,49,reviewed,us,us
2024-09-25T13:11:41.376Z,-17.4734,167.8616,47.047,4.7,mb,30,184,4.562,0.67,us,us7000ng5d,2024-09-25T19:27:08.853Z,"56 km WNW of Port-Vila, Vanuatu",earthquake,5.91,7.468,0.118,22,reviewed,us,us
2024-09-25T13:02:14.144Z,27.905,131.5628,10,4.6,mb,68,83,2.099,0.75,us,us7000ng5a,2024-10-01T12:57:29.040Z,"201 km ESE of Tatsugō, Japan",earthquake,5.9,1.838,0.081,46,reviewed,us,us
2024-09-25T11:50:04.359Z,38.2304,42.5891,10,4.6,mb,85,86,0.378,0.55,us,us7000ng4v,2024-09-25T12:13:32.040Z,"14 km E of Hizan, Turkey",earthquake,4.97,1.885,0.07,61,reviewed,us,us
2024-09-25T06:43:21.986Z,14.4106,-93.1275,10,5.3,mww,92,130,2.091,1.49,us,us7000ng3m,2024-10-15T01:36:11.029Z,"83 km WSW of Puerto Madero, Mexico",earthquake,7.04,1.835,0.046,46,reviewed,us,us
2024-09-25T02:11:34.677Z,14.1903,-93.4002,10,4.5,mb,61,185,2.41,0.91,us,us7000ng2u,2024-10-18T05:20:30.040Z,"120 km WSW of Puerto Madero, Mexico",earthquake,7.32,1.962,0.042,163,reviewed,us,us
2024-09-25T02:04:21.977Z,-11.2479,162.0723,10,4.6,mb,36,108,2.757,0.74,us,us7000ng2t,2024-10-18T05:05:27.040Z,"89 km S of Kirakira, Solomon Islands",earthquake,10.24,1.89,0.111,29,reviewed,us,us
2024-09-24T21:58:08.968Z,-16.8608,-176.9431,10,5.1,mb,77,50,2.781,1.02,us,us7000ng1k,2024-09-24T22:20:30.040Z,"Fiji region",earthquake,7.67,1.799,0.037,239,reviewed,us,us
2024-09-24T17:07:41.507Z,41.5785,143.2834,48.073,4.5,mb,49,102,0.446,0.65,us,us7000nfz4,2024-10-17T20:04:23.040Z,"68 km SSE of Honchō, Japan",earthquake,5.78,5.624,0.088,38,reviewed,us,us
2024-09-24T14:24:26.960Z,-25.8787,-71.0032,53.668,5.2,mww,188,43,0.452,0.87,us,us6000nu2l,2024-09-27T18:09:28.185Z,"73 km SW of Taltal, Chile",earthquake,6.15,3.731,0.057,30,reviewed,us,us
2024-09-24T13:32:03.987Z,-56.4084,-27.7737,68.717,4.6,mb,23,126,5.409,0.69,us,us6000nu2f,2024-09-24T18:52:24.040Z,"South Sandwich Islands region",earthquake,19.81,11.328,0.172,10,reviewed,us,us
2024-09-24T10:58:37.018Z,-4.3619,143.1211,84.354,5,mb,51,68,3.032,0.57,us,us6000nu21,2024-09-24T11:16:05.040Z,"37 km ESE of Ambunti, Papua New Guinea",earthquake,8.23,8.433,0.077,55,reviewed,us,us
2024-09-24T10:37:50.067Z,21.1143,94.985,127.9,4.6,mb,101,63,4.568,0.49,us,us6000nu1v,2024-09-24T13:24:50.040Z,"26 km SSW of Pakokku, Myanmar",earthquake,3.08,7.011,0.058,89,reviewed,us,us
2024-09-24T09:24:25.235Z,12.6377,93.5662,97.537,4.6,mb,54,67,5.678,0.68,us,us6000nu1i,2024-09-24T13:45:47.040Z,"138 km NE of Bamboo Flat, India",earthquake,10.7,2.82,0.084,43,reviewed,us,us
2024-09-24T06:59:45.329Z,-25.434,-115.9103,10,4.8,mb,77,163,6.139,0.85,us,us6000nu14,2024-10-13T11:28:54.040Z,"southern East Pacific Rise",earthquake,14.77,1.927,0.043,170,reviewed,us,us
2024-09-24T06:00:53.567Z,31.4582,140.0587,60.788,4.7,mb,41,134,4.635,0.72,us,us6000nu0y,2024-10-13T11:16:59.040Z,"Izu Islands, Japan region",earthquake,9.11,5.785,0.104,28,reviewed,us,us
2024-09-24T00:58:45.603Z,-31.363,-65.6286,145.195,5,mww,90,43,2.618,0.78,us,us6000ntzv,2024-09-24T01:45:49.884Z,"51 km W of Salsacate, Argentina",earthquake,7.82,6.019,0.068,21,reviewed,us,us
2024-09-24T00:38:04.974Z,29.6915,130.6911,37.743,4.6,mb,55,64,1.823,0.72,us,us6000ntzs,2024-09-24T00:55:09.040Z,"62 km SSE of Koshima, Japan",earthquake,7.85,7.341,0.074,55,reviewed,us,us
2024-09-23T23:41:10.246Z,19.6376,120.5083,15.995,4.5,mb,41,114,3.209,0.69,us,us6000ntzi,2024-09-23T23:57:11.040Z,"122 km NNW of Pagudpud, Philippines",earthquake,8.26,3.026,0.1,29,reviewed,us,us
2024-09-23T23:14:19.526Z,31.5463,140.0638,11.71,5.6,mww,110,86,1.579,1.07,us,us6000ntz9,2024-10-07T19:54:32.449Z,"Izu Islands, Japan region",earthquake,7.31,4.231,0.053,34,reviewed,us,us
2024-09-23T20:45:23.119Z,-4.6309,102.6663,62.263,4.8,mb,56,133,0.394,0.59,us,us6000ntyq,2024-10-05T14:30:11.005Z,"92 km SW of Pagar Alam, Indonesia",earthquake,7.19,5.564,0.074,57,reviewed,us,us
2024-09-23T19:51:02.584Z,0.0054,122.91,143,6,mww,128,21,1.049,1.1,us,us6000ntxc,2024-10-10T14:05:35.913Z,"61 km SSW of Gorontalo, Indonesia",earthquake,6.83,1.914,0.037,72,reviewed,us,us
2024-09-23T19:08:46.299Z,-32.8496,179.7443,193.229,4.9,mww,59,53,4.099,0.79,us,us6000ntwy,2024-10-05T14:11:43.005Z,"south of the Kermadec Islands",earthquake,8.72,6.207,0.086,13,reviewed,us,us
2024-09-23T17:52:22.508Z,11.8755,143.5716,10,4.5,mb,42,117,2.122,0.47,us,us7000nguj,2024-10-05T14:46:46.005Z,"194 km SW of Merizo Village, Guam",earthquake,10.53,1.139,0.093,34,reviewed,us,us
2024-09-23T12:50:10.284Z,30.0396,141.9109,28.977,4.7,mb,31,122,2.943,0.37,us,us6000ntut,2024-10-06T05:22:24.005Z,"Izu Islands, Japan region",earthquake,11.49,6.535,0.102,29,reviewed,us,us
2024-09-23T11:20:22.419Z,41.4242,84.0677,10,4.5,mb,29,119,3.891,0.96,us,us6000ntua,2024-10-07T05:51:34.005Z,"100 km ESE of Kuqa, China",earthquake,9.9,1.832,0.181,9,reviewed,us,us
2024-09-23T08:17:01.076Z,-8.8806,158.0934,10,4.5,mb,33,84,1.913,0.59,us,us6000nttm,2024-09-23T14:13:06.040Z,"162 km ESE of Gizo, Solomon Islands",earthquake,9.55,1.885,0.109,27,reviewed,us,us
2024-09-23T06:53:48.404Z,43.6589,145.9943,97.282,4.5,mb,108,125,2.501,0.53,us,us6000ntt8,2024-09-23T07:53:04.040Z,"42 km SSE of Yuzhno-Kurilsk, Russia",earthquake,7.81,6.66,0.051,115,reviewed,us,us
2024-09-23T05:08:32.347Z,73.2192,6.4164,10,5,mb,98,33,5.552,0.8,us,us6000ntsy,2024-09-23T23:47:54.745Z,"Greenland Sea",earthquake,4.3,1.881,0.046,148,reviewed,us,us
2024-09-23T04:30:06.410Z,40.8571,84.1912,10,4.6,mb,27,128,4.284,1.01,us,us7000ngu2,2024-10-18T02:59:14.040Z,"142 km SE of Kuqa, China",earthquake,5,1.967,0.173,10,reviewed,us,us
2024-09-23T03:07:42.177Z,-26.0817,179.1445,515.896,4.8,mb,42,82,4.082,0.72,us,us6000ntsp,2024-10-18T02:16:02.040Z,"south of the Fiji Islands",earthquake,13.28,7.436,0.094,35,reviewed,us,us
2024-09-23T02:50:15.147Z,10.6086,91.5761,37.828,4.6,mb,27,58,8.262,0.5,us,us7000ngu7,2024-10-18T02:05:46.040Z,"173 km SW of Port Blair, India",earthquake,10.14,6.292,0.182,9,reviewed,us,us
2024-09-23T02:47:49.679Z,-7.7252,147.1466,10,4.7,mb,50,40,1.669,0.72,us,us6000ntsm,2024-10-18T00:56:48.040Z,"63 km SE of Wau, Papua New Guinea",earthquake,7.76,1.725,0.11,25,reviewed,us,us
2024-09-23T02:36:38.948Z,-29.6937,-71.2471,60.084,5.4,mww,133,63,0.224,0.82,us,us6000ntsj,2024-10-18T00:49:19.949Z,"23 km N of La Serena, Chile",earthquake,5.35,3.31,0.047,43,reviewed,us,us
